,Rank,tag,name,badgeId,trophies,memberCount,trophies_normalized,member_count_normalized
107,107,#2J980P880,🇲🇽MEXITACHI🤙,8000010,1258460,30,0.09415417935567083,1.0
108,108,#2JRUUP82C,OverPowerMX,8000007,1257372,30,0.09279680417991698,1.0
109,109,#298RU02UQ,爱 Valhalla's 特,8000017,1256836,29,0.09212809729186189,0.8000000000000007
110,110,#2G88PRJQP,LOSMAS BUSCADOS,8000041,1256406,30,0.09159163467644449,1.0
111,111,#QCG22U9,Vengadores,8000059,1253923,30,0.08849387496927807,1.0
112,112,#Q9RUR0VC,Team LimonSal,8000029,1253147,30,0.08752574708657135,1.0
113,113,#2QLCC2CJ9,🦄TMC🦄,8000047,1251899,30,0.08596875791438308,1.0
114,114,#2PYV29LJU,§pike |MX|,8000017,1251353,30,0.08528757515155072,1.0
115,115,#JC2VPVVU,Alfa Brawl,8000049,1250375,30,0.08406743459834543,1.0
116,116,#2RQQURGYR,BrawlGuys,8000034,1250046,30,0.08365697831817709,1.0
117,117,#LGJ0U88L,¡TACOLAND!™️,8000017,1248579,29,0.08182676748836926,0.8000000000000007
118,118,#2Q2PL092U,BLACK DEMONS,8000018,1248436,30,0.08164836247905605,1.0
119,119,#2YYG2P2JY,「RealArmy」,8000025,1248412,30,0.08161842037959088,1.0
120,120,#20GL0CQGU,Berserkers|LA,8000016,1247481,30,0.08045691643783837,1.0
121,121,#98YP89VJ,Thirty Hearts,8000057,1244861,30,0.07718823724622514,1.0
122,122,#PV98LQLQ,TEAM QUESITO :3,8000047,1244743,29,0.07704102192385465,0.8000000000000007
123,123,#VUQUQ9LR,Team langost🦞,8000059,1242864,30,0.07469680505322818,1.0
124,124,#2UP2GRYJ,brothers blood7,8000032,1241681,29,0.07322090906709144,0.8000000000000007
125,125,#2Q2GRL2CV,RelevanT,8000041,1241259,30,0.07269442715149577,1.0
126,126,#2JUVLLR0V,╰ＨＳ╯ＳＨＩＺＵＫＡ,8000007,1241194,29,0.07261333396544423,0.8000000000000007
127,127,#2G2VLV9Q2,Bad Randoms Mx,8000031,1239720,30,0.07077439002329244,1.0
128,128,#2JQ9988R9,꧁༻ Jäger ༺꧂,8000057,1238888,29,0.06973639724183367,0.8000000000000007
129,129,#2J99QQP80,❤️panvasitos❤️,8000025,1236221,30,0.06640908143876767,1.0
130,130,#28GV282QJ,<c9>TV-SCAA</c>,8000057,1235680,25,0.06573413661332395,0.0
131,131,#2GLL8L9J0,Harpy Stalks,8000023,1235462,30,0.06546216254318216,1.0
132,132,#2R09PQL02,Tiriwitsis,8000013,1235440,28,0.06543471561867231,0.6000000000000005
133,133,#22YLLPQQL,™Storm Mx ⚡,8000011,1235078,30,0.06498308895173954,1.0
