tag,name,nameColor,icon,trophies,rank,club,normalized_trophies,normalized_rank
#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1203,79,BC*|Family*,0.3355704697986579,0.39195979899497485
#8R29PY9RJ,Darkez🤍Audrey,0xff1ba5f5,28000207,1203,80,Ghost Team👻☔,0.3355704697986579,0.3969849246231156
#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,1203,81,A Few Good Men,0.3355704697986579,0.40201005025125625
#P2V2GGLJY,NM | Quinx™♊,0xffff8afb,28000111,1202,82,Quinx Academy,0.33221476510067083,0.40703517587939697
#2CRRRRYJR,моё,0xfff9c908,28000213,1202,83,✌️✌️✌️,0.33221476510067083,0.4120603015075377
#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1201,84,luv sinayy.🤍🪽,0.32885906040268464,0.41708542713567837
#90V9VYJ8C,しょうけい,0xfff05637,28000242,1201,85,なかよし部,0.32885906040268464,0.4221105527638191
#9PJQ9V8L9,banny♜︎,0xffffffff,28000303,1201,86,Real Ones,0.32885906040268464,0.42713567839195976
#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1200,87,Humble Grinders,0.3255033557046976,0.4321608040201005
#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1200,88,No Mercy,0.3255033557046976,0.4371859296482412
#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1200,89,ChillOG,0.3255033557046976,0.4422110552763819
#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1200,90,Quant ESports🐾,0.3255033557046976,0.4472361809045226
#J0QQ8000,ˢᵃᵈкαριℓ²²,0xff1ba5f5,28000305,1199,91,‧✧˚✶𝙆𝙑𝙇✶˚✧‧,0.3221476510067114,0.4522613065326633
#YUGUVGYL,edson v2 🪐,0xffcb5aff,28000176,1199,92,You and me 💜,0.3221476510067114,0.457286432160804
#PRVJJQUUR,Mundial を',0xffffffff,28000004,1199,93,WOLVES HUNGRY,0.3221476510067114,0.4623115577889447
#LL09UJ2J,Saki🩵,0xfff05637,28000018,1199,94,DEEMO,0.3221476510067114,0.4673366834170854
